School Name,Address,Pincode,website,City,Category,Gender,Principal,Founded,Affiliation,Strength,Web Url,Fees,Revenue,Mobile/Contact Number,Principal/Heigher Mgm. Emails,Emails,Other Higher Mgm. Email,Other Email,Other Email.1,Contact number,Contact number.1,Contact number.2,Merged_Unnamed
Shree Bharathi Public School,"Opposite Vijaya Hospital, Post, near Rajiv Gandhi Dental Collage, Chamundi Nagar, RT Nagar, Bengaluru, Karnataka 560032",560032,http://www.bharathiinstitutions.in/,Yelahanka ,English Medium School,,,,,,,,,080 2354 6596,,,info@bharathiinstitution.in,director@bharathiinstitutions.in,info@bharathiinstitutions.in,7847037927,9141879732,8147480974,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Presidency University,"Itgalpur Rajanakunte, Yelahanka, Bengaluru, Karnataka 560064",560064,http://presidencyuniversity.in/,Yelahanka ,English Medium School,,,2013,,,,,,080 4925 5533,,,vc.office@presiuniv.ac.in,sec.registrar@presiuniv.ac.in,hod.dls@presiuniv.ac.in,9022092222,9538812343,9538712342,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Blossoms School,"No. 780, 18th Cross Rd, Defence Colony, Bagalakunte, Bengaluru, Karnataka 560073",560073,http://www.blossomstv.com/blossoms-school.aspx,Yelahanka ,English Medium School,,,,,,,,,080 2837 4763,,,mksalg@yahoo.com,theblossomsschool@yahoo.com,blossoms@theblossoms.school,9455382101,info@blossomsschool.org,blossomschoolnagpur@gmail.com,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Ekya School ITPL,"2851, ITPL Main Rd, Dodda Nekkundi Extension, Friends Layout, Bengaluru, Karnataka 560037",560037,http://www.ekyaschools.com/itpl/?utm_source=GMB&utm_medium=ITPL&utm_campaign=ITPL,Yelahanka ,English Medium School,,,2010,,,,,,080 4680 9096,,,info@ekyaschools.com,admissions@ekyaschools.com,career@ekyaschools,itpl@ekyaschools.com,jp.nagar@ekyaschools.com,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Podar International School,"Survey No. 85 , Chikka Kodigehalli, NICE Ring Rd, Kodigehalli, Karnataka 560091",560091,http://www.podareducation.org/school/bengaluru2,Yelahanka ,English Medium School,,,,,,,,,088844 95220,,,admissions@podar.org,principal.cbsekalyan@podar.org,connectpis@podar.org,7574807028,9511939546,9511942542,"principal@arsdcollege.net, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Sophia High School,"70, Palace Rd, High Grounds, Bengaluru, Karnataka 560001",560001,http://www.sophiahighschool.com/,Yelahanka ,English Medium School,,,1949,,,,,,080 2220 8794,,,sophiaschool19@gmail.com,heatherkinglee@sophiahighschool.org,jayadsouza@sophiahighschool.org,8022208794,8022266825,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
GEMS B SCHOOL,"Bangalore Palace, Royal, Vasanth Nagar, Bengaluru, Karnataka 560052",560052,http://www.gemsbschool.com/,Yelahanka ,English Medium School,,,,,,,,,096322 05138,,,scalinggreaterheights@gemsbschool.com,xxxxhts@gemsbschool.com,mysore@gemsbschool.com,9632205138,9845125069,+91-9980005180,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
The International School Bangalore,"NAFL Valley Whitefield - Sarjapur Road, Circle, near Dommasandra, Bengaluru, Karnataka 562125",562125,http://www.tisb.org/,Yelahanka ,English Medium School,,Dr Caroline Pascoe,2000,,,,,,080 2263 4900,,,school@tisb.ac.in,admissions@indusschool.com,feedback@indusschool.com,9663305705,9663305706,info@cisb.org.in,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
National Public School,"12th A Main Rd, HAL 2nd Stage, Indiranagar, Bengaluru, Karnataka 560008",560008,http://www.npsinr.com/,Yelahanka ,English Medium School,,,1982,,,,,,080 2528 0611,,,bnpsramvihar@yahoo.com,info@bnpsramvihar.edu.in,nps.sbd@gmail.com,9310353898,dean@npsitpl.com,itsupport@npsitpl.com,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
INDIAN BANK,"KNSIT CAMPUS,THIRUMENAHALLI,JAKKUR, POST, Yelahanka, Bengaluru, Karnataka 560064",560064,http://www.indianbank.in/,Yelahanka ,English Medium School,,,,,,,,,1800 4250 0000,,,rtgscell@indianbank.co.in,rtgs@indian-bank.com,nodalofficer@indianbank.co.in,8004254422,indmail@indianbank.co.in,customercomplaints@indianbank.co.in,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
The Oxford College of Science,"17th, No. 32, B'Cross, 19th Main Rd, HSR Layout, Bengaluru, Karnataka 560102",560102,http://www.theoxford.edu/,Yelahanka ,English Medium School,,Dr. R. Kavyashree,1994,,,,,,080 3026 6301,,,info@theoxford.edu,hodplacements@theoxford.edu,adn@theoxford.edu,9964313495,,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Jain (Deemed-to-be University),"#44/4, District Fund Road, Behind Big Bazaar, Jayanagara 9th Block, Bengaluru, Karnataka 560069",560069,,Yelahanka ,English Medium School,,,2009,,,,,,080 4665 0100,,,admission.set@jainuniversity.ac.in,admissions.intl@jainuniversity,info.cde@jainuniversity.ac.in,7337618222,7337619222,8873373316,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
CHRIST (Deemed to be University),"Hosur Rd, Bhavani Nagar, S.G. Palya, Bengaluru, Karnataka 560029",560029,http://www.christuniversity.in/,Yelahanka ,English Medium School,,,15 July 1969,,,,,,080 4012 9600,,,mail@christuniversity.in,isc.admission@christuniversity.in,admissions.bgr@christuniversity.in,919212440111,8040129100,8040129600,"7009711914, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Kendriya Vidyalaya Air Force Station,"Yelahanka, Bengaluru, Karnataka 560063",560063,https://afsyelahanka.kvs.ac.in/,Yelahanka ,SSC School,,,,,,,,,080 2847 8744,,,principal060@yahoo.co.in,ppl.gokulnagar@kvs.gov.in,kvkadarpur@gmail.com,v3ambalacantt@gmail.com,kvafsjorhat1@gmail.com,kvafsgorakhpur@rediffmail.com,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Federal Public School,"#27, Hegade Nagar Main Road, Opp KNSIT, Thirumenahalli, Thanisandra Main Road, Yelahanka, Bengaluru, Karnataka 560064",560064,http://www.federalpublicschool.org/,Yelahanka ,SSC School,,,,,,,,,080 2856 7277,,,info@federalpublicschool.org,.federalschool@gmail.com,federalpublicschool@gmail.com,+91- 9008581599,9845860935,9008581599,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Bharathi Public School,"IAF post, Bagalur Main Rd, Baba Nagar, Kattigenahalli, Bengaluru, Karnataka 560064",560064,http://www.bharathiinstitutions.in/,Yelahanka ,SSC School,,,,,,,,,098452 60197,,,info@bharathiinstitution.in,director@bharathiinstitutions.in,info@bharathiinstitutions.in,7847037927,9141879732,8147480974,"8380938444, 9326460814, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Kangaroo Kids,"no 428, Building, Raghavendra Swamy Temple Road, 6, 8th A Cross Rd, Yelahanka New Town, Bengaluru, Karnataka 560064",560064,http://www.kangarookids.in/,Yelahanka ,SSC School,,,,,,,,,098802 00111,,,franchise@kangarookids.co.in,gwalior@kangarookids.co.in,andheri.sherepunjab@kangarookids.co.in,+91-9879001947,+91-9920010897,bangalore.yelahanka@kangarookids.co.in,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Yelahanka Air Force Base,"technical area, Yelahanka, Bengaluru, Karnataka 560064",560064,http://indianairforce.nic.in/,Yelahanka ,SSC School,,,,,,,,,097418 17763,,,afschoolyel06386@gmail,satluj@nic.in,logo8@iaf.nic.in,9343818181,9035272410,8050508740,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
United International School,"Hennur - Bagalur Main Road, Post, Kannuru, Bengaluru, Karnataka 562149",562149,https://www.unitedinternationalschool.com/,Yelahanka ,SSC School,,,,,,,,,094835 14755,,,99info@uisblr.com,careers@uisblr.com,info@uisblr.com,9483514755,7353751497,919483514755,"futures@st-georges-academy.org, sjsf@st-georges-academy.org, governance@st-georges-academy.org, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Narayana e-Techno School,"R.T, Coconut Garden, Cholanayakanahalli, Hebbal, Bengaluru, Karnataka 560032",560032,http://www.narayanaschools.in/,Yelahanka ,SSC School,,,,,,,,,070222 94014,,,southcity2@narayanagroup.com,rajnagar@narayanagroup.com,agm.gur@narayanagroup.com,8373915146,+91-8744054800,7022293901,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Narayana e-Techno School,"Nanjappa - Thindlu Rd, near LG house, Sapthagiri Layout, Tindlu, Vidyaranyapura, Bengaluru, Karnataka 560097",560097,http://www.narayanaschools.in/,Yelahanka ,SSC School,,,,,,,,,1800 102 3344,,,southcity2@narayanagroup.com,srschowk@narayanagroup.com,agm.gur@narayanagroup.com,+91-8744054800,9891162009,7022293901,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Daffodils English School Association,"4th Main Rd, Anandanagar Layout, Raj Mahal Vilas 2nd Stage, Sanjaynagar, Bengaluru, Karnataka 560094",560094,,Yelahanka ,SSC School,,Mrs. Aparna Ramasheshaiah,1978,,,,,,080 2351 6711,,,desinfo@daffodils.education,daffodils_school@yahoo.com,,8023516711,9741395522,917415014546,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
INDIAN BANK,"KNSIT CAMPUS,THIRUMENAHALLI,JAKKUR, POST, Yelahanka, Bengaluru, Karnataka 560064",560064,http://www.indianbank.in/,Yelahanka ,SSC School,,,,,,,,,1800 4250 0000,,,rtgscell@indianbank.co.in,rtgs@indian-bank.com,nodalofficer@indianbank.co.in,8004254422,indmail@indianbank.co.in,customercomplaints@indianbank.co.in,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
National Academy for Learning,"3rd Cross Rd, West Of Chord Road, West of Chord Road 3rd Stage, Basaveshwar Nagar, Bengaluru, Karnataka 560079",560079,http://www.nafl.in/,Yelahanka ,SSC School,Co-ed,Ms. Indira Jayakrishnan,1994,,,,,,080 2323 9281,,,admin@nafl.in,hr@npsurbana.com,info.naflurbana@gmail.com,9113658341,,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
CL Educate,"24, 14th Cross Road, Malleshwaram, Bengaluru, Karnataka 560003",560003,,Yelahanka ,SSC School,Co-ed,Satya Narayanan R,,,,,,,,,,helpme@careerlauncher.com,feedback@careerlauncher.com,hr@careerlauncher.com,reimaginingedu@cleducate.com,rachna.sharma@careerlauncher.com,compliance@cleducate.com,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Aavishkar Academy,"#24/1, Satyanarayana Temple Street, Opp Philips Millenia, Ulsoor, Bengaluru, Karnataka 560008",560008,http://aavishkaracademy.com/,Yelahanka ,SSC School,Co-ed,,,,,,,,089712 60043,,,enquiry@aavishkaracademy.com,aavishkarmy@gmail.com,chairman@aavishkaracademy.com,+91 - 8971260043,8971738606,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
"Career Launcher Malleshwaram Center, Bangalore","No.52/2-1, First Floor, 16th Cross, 8th Main Rd, Above Saraswat Bank, Malleshwaram, Bengaluru, Karnataka 560055",560055,https://www.careerlauncher.com/bangalore/malleshwaram/,Yelahanka ,SSC School,Co-ed,,,,,,,,078991 11137,,,rahulreddy@careerlauncher.com,bp@careerlauncher.com,himanshu.jain@careerlauncher.com,7899111137,7899222236,9513646380,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Chrysalis High Kadugodi,"Sy. No 125, Kumbena Agrahara Whitefield, Chrysalis High, Kadugodi Rd, behind HP Petrol Pump, Bengaluru, Karnataka 560067",560067,https://www.chrysalishigh.com/chrysalis-high-whitefield-kadugodi-road.php,Yelahanka ,SSC School,Co-ed,,,,,,,,097391 50011,,,admissions.kadugodi@chrysalishigh.com,support.kadugodi@chrysalishigh.com,admissions.varthur@chrysalishigh.com,+91-8095432322,7829432322,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
National Public School RNR,"1036-A, West of Chord Road, 5th Block, Rajaji Nagar, Bengaluru, Karnataka 560010",560010,http://www.npsrnr.com/,Yelahanka ,SSC School,Co-ed,"Mini Jayan (Principal, Primary School)",1959,,,,,,080 2335 0361,npsrnr@gmail.com,,npsrnr@gmsil.com,info@npsrnr.com,info@nps.ac.in,9900047474,9632296318,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Mahendra Educational Private Limited,"178/5, LAKSHMI CHAMBERS, 8th F Main Rd, above ABHUSHAN JEWELLERS, Jayanagar East, Bengaluru, Karnataka 560011",560011,http://www.mahendras.org/,Yelahanka ,SSC School,Co-ed,Naveen Kumar Jain,,,,,,,095387 12808,head.accounts@mahendras.org,,info@mahendras.org,head.accounts@mahendras.org,jane.doe@mahendras.org,7052477777,7052577777,9538712808,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Mahendra,"78, 8th Cross Rd, Hanumagiri, Nisarga Layout, Chikkalasandra, Bengaluru, Karnataka 560061",560061,https://www.mahendras.org/,Yelahanka ,SSC School,Co-ed,MR. RAJENDRA PRASAD,,,,,,,7317002022,ushahamilton2014@gmail.com,,info@mahendras.org,,,7052477777,7052577777,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
EduStoke,"# 407, Ground Floor, Amarjyothi Layout, Domlur, Domlur, Bengaluru, Karnataka 560071",560071,http://www.edustoke.com/,Yelahanka ,SSC School,Co-ed,,,,,,,,098112 47700,jane@edustoke.com,info@edustoke.com,dpswhitefield@gmail.com,info@edustoke.com,,919916495064,918023331531,918041115131,"principal@aisg43.amity.edu, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
