School Name,Address,Website,City,Category,Gender,Principal,Founded,Affiliation,Web Url,Fees,Revenue,Mobile/Contact Number,Principal/Heigher Mgm. Emails,Emails,Other Higher Mgm. Email,Other Email,Other Email.1,Contact number,Contact number.1,Contact number.2,Merged_Unnamed,,,
Aerokids,"129, 1, Pillayar Koil St, Srinivasa Nagar, Kattupakkam, Chennai, Tamil Nadu 600056",http://www.aerokidsindia.com/,Tamil Nadu,Play School,,,,,,4 crore,,098417 71371,,,franchise@aerokidsindia.com,info@aerokidsindia.com,careers@aerokidsindia.com,8861681736,8056135866,8056387465,9448947552,,,
Aerokids Daporijo,"Daporijo upper, Subanshri District, Arunachal Pradesh 791122",http://www.aerokidsindia.com/,Arunachal Pradesh,"Private Schoos, Kids School",,,,,,"11 lakh, 5 lakh",,03792 224 450,"deepak1980@gmail.com, madhu2@gmail.com",,franchise@aerokidsindia.com,info@aerokidsindia.com,careers@aerokidsindia.com,8861681736,8056135866,8056387465,,,,
Aerokids Daporijo,"Subansiri District, Daporijo, Arunachal Pradesh 791122",http://www.aerokidsindia.com/,Arunachal Pradesh,Kids School,,,,,,12 lakh,,098735 42946,archanas@gmail.com,,franchise@aerokidsindia.com,info@aerokidsindia.com,careers@aerokidsindia.com,8861681736,8056135866,8056387465,,,,
Aerokids International Pre- School,"Ice factory lane, Hospital Rd, Bilpar, Silchar, Assam 788001",http://aerokidsindia.com/playschool-assam-silchar.html,Assam,International School,,,,,,10 lakh,,094011 89360,mohotra.msc@gmail.com,,franchise@aerokidsindia.com,info@aerokidsindia.com,careers@aerokidsindia.com,9401189360,9401189430,8861681736,,,,
Aerokids International Preschool,"33A, Thendral Nagar, Thanthoni, Tamil Nadu 639005",http://www.aerokidsindia.com/,Tamil Nadu,Play School,,,,,,2.5 crore,,097876 16161,,,franchise@aerokidsindia.com,info@aerokidsindia.com,careers@aerokidsindia.com,8861681736,8056135866,8056387465,"ashok.gupta@iisuniv.ac.in, iis@iisdso.org",,,
Aerokids Nagamalai Puthukottai,"7/801, Bakthavachalam Street, NGGO Colony, Nagamalaipudukottai, Tamil Nadu 625019",http://www.aerokidsindia.com/,Tamil Nadu,Play School,,,,,,4 crore,,090420 02880,,,franchise@aerokidsindia.com,info@aerokidsindia.com,careers@aerokidsindia.com,8861681736,8056135866,8056387465,"9304953711, 9304953704",,,
Aerokids Sigra Varanasi,"D.59/105-57, CHANDRIKA NAGAR (, opp. RADIANCE DIGNOSTIC, Sigra, Varanasi, Uttar Pradesh 221001",http://www.aerokidsindia.com/,Varanasi,Primary School,,,,,,10 lakh,,097949 75485,,,franchise@aerokidsindia.com,info@aerokidsindia.com,careers@aerokidsindia.com,8861681736,8056135866,8056387465,9023400300,,,
Ahmedabad International School,"Judges Bunglow Rd, Opposite Rajpath Row Houses, Bodakdev, Ahmedabad, Gujarat 380054",http://www.aischool.net/,"Nagaland, Gujarat","IB school, School, Kids School, Private School, ICSE School, International School",,Dr. Anjali Sharma,,,,"3 crore, 1/2 crore, 2.5 crore, 1095 crore, 1114 crore",,079 2687 1623,"maria18@yahoo.com, umesh10@gmail.com, bijoy1@rediff.com, walterde@gmail.com, jotwani15@gmail.com, sharma1970@gmail.com, surender8@gmail.com","brijmohan14@gmail.com, pro.purohit@gmail.com, vishwakarma8@gmail.com, jhaanubhuti@gmail.com, gupta9@gmail.com, msc.nishant@gmail.com, shekhar.msc@gmail.com",contact@aischool.net,ais@aischool.net,admission@aischool.net,7926871623,,,,,,
Ahmednagar College,"Chandni Chowk, Station Rd, Ahmednagar, Maharashtra 414001",http://aca.edu.in/,Ahmednagar,Private School,,Dr. R.J. Barnabas,,,,,,0241 235 4162,drdhirendra@yahoo.com,,nlc70.@gmail,ahmcahmednagar@yahoo.in,principal@ahmednagarhomoeopathicmedicalcollege.org,7276373243,physiology@ahmednagarhomoeopathicmedicalcollege.org,pharmacy@ahmednagarhomoeopathicmedicalcollege.org,,,,
Air Force School,"AFAC, Near Circuit House, Red Fields, Coimbatore, Tamil Nadu 641018",http://airforceschoolcbe.com/,"Tamil Nadu, Coimbatore","School, CBSE School, IB school, Schools",Co-ED,Mrs Rajeswari P,1953,,,"1/2 crore, 12 lakh",,"0422 222 0321, 7598824124, 0422 222 0321","drnarasimha.bsc@gmail.com, ms1975@gmail.com, sandhu.msc@gmail.com, mrsrajeswari@gmail.com, sk.phd@gmail.com","chavan1@gmail.com, principal.ramchandra@gmail.com, dhekanemahadeo@gmail.com, kathiababa.agartala@gmail.com, umale2@gmail.com","afshebbal@gmail.com, cmcafschools@gmail.com","airforceschooljaipur@gmail.com, afshebbal@gmail.com",airforceschooljaipur@yahoo.co.in,"8930793004, 9343818181","8930793005, 9035272410","8930793006, 8050508740",,,,
Aizawl Theological College,"Aizawl, Mizoram 796014",http://www.atc.edu.in/,Mizoram,Play School,,Rev. Prof.Vanlalnghaka Ralte,,,,4 crore,,0389 236 1126,sj.bsc@hotmail.com,bragancamachado@gmail.com,principal@atc.edu.in,mainoffice@atc.edu.in,registrar@atc.edu.in,principal@atc.e,atheol@sancharnet.in,jrst@rediffmail.com,,,,
Akal Academy,"Akal Dhudial Academy, Old Bishan Singh Nagar, Dhudial, Punjab 147001",http://www.akalacademy.in/,Punjab,CBSE School,,,1996,,,3084 crore,,0175 237 1141,,,info@akalacademy.in,admin@akalacademy.ac.in,pxxxxxxxxxxxxxh@akal,91-9857408758,9816033303,8001807755,,,,
Akshara Schools,"76-8-21, 76, Crombway Rd, Milk Colony, Bhavanipuram, Housing Board Colony, Vijayawada, Andhra Pradesh 520012",http://www.aksharavijayawada.com/,Vijaywada,Private School,Co-ED,Roopa Ashok Shetty,,,,10 lakh,,092481 11205,dr.kain@yahoo.com,principal.kumar@gmail.com,admissions@akshara.edu.in,aksharavaagdevicbse@gmail.com,principal@aksharaacademy.in,9573469759,9023079999,,,,,
Al-Barkaat Public School,"Anoopshahr Road, Post C.D.F. Near Jamalpur Railway Crossing, Aligarh, Uttar Pradesh 202002",http://www.albarkaat.com/,Uttar Pradesh,Schools,,Mrs. Sabiha Khan,2001,Central Board of Secondary Education,,,,0571 329 1309,prominichopra@gmail.com,phd.dwivedi@gmail.com,91-9045502007abpsprincipaloffice@gmail.com,abpsprincipaloffice@gmail.com,,+91-9045502007,,,,,,
Aligarh Muslim University,"Aligarh, Uttar Pradesh 202001",http://www.amu.ac.in/,Uttar Pradesh,School,,,,,,1/2 crore,,Syed Ahmad Khan,,,registrar.amu@amu.ac.in,fo.amu@amu.ac.in,amucontrollerexams@gmail.com,amu.coe@amu.ac.in,amupro@amu.ac.in,coe.amu@amu.ac.in,7665316316,,,
Allahabad High Court,"Nyaya Marg, Canton, Dhoomanganj, Prayagraj, Uttar Pradesh 211001",http://www.allahabadhighcourt.in/,Uttar Pradesh,Private School,,,11 June 1866,,,1/2 crore,,0532 242 2335,,,request_vc_lko@allahabadhighcourt.in,cj@allahabadhighcourt.in,pritinkerdiwaker@allahabadhighcourt.in,manojmisra@allahabadhighcourt.in,bschauhan@allahabadhighcourt.in,alala@allahabadhighcourt.in,7202806806,,,
Allons Public School,"VPO, Bijabhat, ROAD, Berla, Bemetra, Chhattisgarh 491335",http://www.allonsps.com/,Chhattisgarh,Boarding school,,,,,,11 lakh,,094062 26555,rohin6@gmail.com,,admin@allonsps.com,enquiry@allonsps.com,boarding@allonsps,+91-9424128459,7824206183,9424128459,,,,
Alpine Convent School,"MAIN ROAD, next to Civil Hospital, Sector 10, Gurugram, Haryana 122001",http://alpineconventschool.com/,"Rohtak, Rewari, Mewat, Jhajjar, Haryana, Gurgaon, Delhi","Private School, CBSE School, ICSE School, IB school, School, Kids School, International School",,Una Roy Chowdhury,1996,,,,,099997 00821,"manjuri6@gmail.com, revprofvanlalnghaka@gmail.com, er.amudha@gmail.com, fathermaria@gmail.com, hemant@gmail.com, dr.ckamola@yahoo.com, gopalkrishnasanthamma@yahoo.com, er.panigrahi@gmail.com, nallath.msc@gmail.com, dr1975@hotmail.com, ann.bsc@gmail.com, karthasreekumar@yahoo.com, p1969@yahoo.com, pratibhashukla@hotmail.com, rojoa1985@gmail.com","baburao.bsc@gmail.com, shashi.msc@gmail.com",principal10@alpineconventschool.com,"admin@alpineconventschool.com, alpineconventschool@gmail.com","alpineconventschool@gmail.com, admin@alpineconventschool.com",+91-9999700160,9999700982,+91-9999700821,,,,
Alpine Convent School,"Street Number 3, Sheetla Colony Phase 2, Opposite, Sector 5, Gurugram, Haryana 122017",http://www.scrschools.com/,Mewat,CBSE School,,Sujesh Kataria,,,,,,099991 71637,er.maliga@gmail.com,,principal10@alpineconventschool.com,admin@alpineconventschool.com,alpineconventschool@gmail.com,+91-9999700160,9999700982,+91-9999700821,,,,
Ambitus World School - Hyderabad,"Chaitanya IAS Academy, Miyapur - Medchal Highway, Near Bachupally, Bowrampet, Hyderabad, Telangana 500043",https://www.ambitusworldschool.com/hyderabad,Telangana,Kids School,,,,,,7 crore,,090321 91111,,,info@ambitusworldschool.com,info@ambitusworldschool,info.vja@ambitusworldschool.com,+91-9032191111,+91-9100401111,9100481111,9905486006,,,
Amity Global School,"Amity Global School, A Block, C Block, Sector 44, Noida, Uttar Pradesh 201301",http://www.amityglobalschool.com/noida,Haryana,Private Schoos,,,,,,10 lakh,,0120 439 9150,sr1968@gmail.com,,-rranjan@ags.amity.edu,info@agsn.amity.edu,admissions@ags.amity.edu,8527811336,8448481410,91- 8448481410,,,,
Amity International School,"Amity International School Rd, Near Divine Hospital, Viraj Khand - 5, Viraj Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010",http://www.amity.edu/ais/aislucknow/aislucknow.asp,Uttar Pradesh,School,,,,,,1/2 crore,,080900 23892,,,amity@aisn.amity.edu,principal@aiss.amity,principal@aisvk.amity.edu,8090023892,7743000241,9810983009,9884622042,,,
Amity International School,"HS-1 Sector-1, Vasundhara, Ghaziabad, Uttar Pradesh 201012",http://www.amity.edu/ais/aisv1/,"Uttar Pradesh, Modinagar, Mewat, Hapur, Ghaziabad","Private School, International School, IB school, School, CBSE School",,Sunila Athley,2005,Central Board of Secondary Education,,"4 crore, 426 crore",,0120 269 9290,"sreejith1988@yahoo.com, revbrother@hotmail.com, blest.phd@gmail.com, er.ravi@gmail.com, kausar.phd@rediff.com, salman.phd@yahoo.com, agarwal16@gmail.com, ohri19@yahoo.com, athley.bsc@gmail.com, ohri18@rediff.com, saxena11@rediff.com","shriprashant@gmail.com, wanjari12@gmail.com, shubhneet19@gmail.com, smita.phd@gmail.com, eknath.phd@gmail.com, laxman.phd@gmail.com, vinayak19@gmail.com, natarajan4@gmail.com, lalita2@gmail.com",amity@aisn.amity.edu,"amity@aisn, principal@aiss.amity","principal@aiss.amity.edu, principal@aisvk.amity.edu",8090023892,"principal@aisvk.amity.edu, 917505527010, 7743000241","7525065318, 9350259835",,,,
Amity International School,"Power Grid Complex, Sector 43, Gurugram, Haryana 122022",http://www.amity.edu/ais/aisg2/,,School,,Anshu Arora,2003,,,,,,er.lancelot@gmail.com,sikarwar10@gmail.com,amity@aisn.amity.edu,amity@aisn,principal@aisvk.amity.edu,8090023892,917505527010,7525065318,,,,
Amity School,"Dahej Bypass Rd, Aakansha Nagri, Sherpura, Umraj, Gujarat 392001",http://amityschool.net/,Gujarat,Private Schoos,,,,,,11 lakh,,02642 239 635,m1988@rediff.com,,amity@aisn.amity.edu,amity@aisn,principal@aisvk.amity.edu,8090023892,917505527010,7525065318,,,,
Amity University Noida,"Amity Rd, Sector 125, Noida, Uttar Pradesh 201301",https://www.amity.edu/,Uttar Pradesh,Schools,,,2005,"University Grants Commission, MORE",,,,Ashok Chauhan,,,admissions@amity,aktiwari1@amity.edu,admissions@gn.amity.edu,8448396303,+91-9871278770,infoagra@aic.amity.edu,"919789099651, 919500180034",,,
Amrita Vidyalayam,"Old NH-17, North, Kunnumpuram, Kochi, Kerala 682024",http://amritavidyalayam.org/schools-and-location/,Tamil Nadu,Schools,,,,,,10 lakh,,0484 280 1767,sundar.msc@gmail.com,,avahmedabad2003@yahoo.com,avbaneshwar@gmail.com,av9bangalore@gmail.com,9438781399,avcssi@cssy.amritavidyalayam.edu.in,avcvkd@cvkd.amritavidyalayam.edu.in,,,,
Amrita Vishwa Vidyapeetham University,"Amritanagar, Ettimadai, Tamil Nadu 641112",https://www.amrita.edu/,Kerala,ICSE School,,,1994,,,2.5 crore,,0422 268 5000,,,campus@am.amrita.edu,internationaladmission@amrita.edu,vcoffice@amrita.edu,+91-7994335819,+91- 9446406100,9841374519,,,,
Andhra University College of Engineering,"Junction, AU North Campus, Andhra University North Campus, Andhra University, Visakhapatnam, Andhra Pradesh 530003",http://andhrauniversity.edu.in/,Andhra Pradesh,"School, Private School",,"P.Srinivasa Rao, G.S.N. Raju","1926, 1955",University Grants Commission,,"2 crore, 2.5 crore",,089128 44000,"moras1969@gmail.com, dr.craig@gmail.com, vineeta11@rediff.com","sharma11@gmail.com, biman7@gmail.com, principal.tiwari@gmail.com",enquiry@andhrauniversity.edu.in,support@andhrauniversity.edu.in,head.cse@andhrauniversity.edu.in,hodcsse.au@gmail,aucewprincipal@andhrauniversity.edu.in,hodmechaucew@gmail.com,,,,
Ansar English School,"Unnamed Road, Perumpilavu, Kerala 680519",http://www.ansarschool.in/,,School,,Mr. Salil hassan,1983,"Central Board of Secondary Education, New Delhi",,,,04885 282 077,pulimood.msc@gmail.com,principal.dave@gmail.com,info@ansar.in,principal@ansar.in,rasheed_c2@yahoo.com,9400089039,,,,,,
Aparnaa World School,"near Buxi Chowk, Housing Board Colony, Jharsuguda, Odisha 768203",http://aparna.edu.in/,Odisha,"School, Kids School, Play School, Private School, CBSE School, ICSE School, International School",,Mrs.K.G Mini Kurup,2014,,,"1/2 crore, 3 crore, 5 crore, 4 crore, 2.5 crore",,092381 80100,"minikg@gmail.com, arun18@gmail.com, er.amitabh@gmail.com, joseph1965@gmail.com, furtado.phd@yahoo.com, jose1981@hotmail.com, dr.bhati@hotmail.com, ghosal.msc@rediff.com","principal.a@gmail.com, dr.suryakant@gmail.com, madhukar17@gmail.com, yuwaraj10@gmail.com, dr.mukund@gmail.com, banerjee.phd@gmail.com, tanajirao20@gmail.com, msc.agrawal@gmail.com",info@aparna.edu.in,"principal@aparna.edu.in, info@aparna.edu","info@aparna.edu, principal@aparna.edu.in",9238180100,9238180300,,,,,
Apeejay School,"BG-­180 Salt Lake, Sector II, Kolkata, West Bengal 700091",http://www.apeejayschool.in/,West Bengal,CBSE School,,,,,,4 crore,,033 2321 5151,,,skool.pp.del@apj.edu,skool.ms.nvd@apj.edu,skool.saket.del@apj.edu,9971168238,aes@apeejay.edu,skool.ss.int@apeejay.edu,"+91-8059567877, +91-9311597788",,,
Aravali The Eduworld,"Badkal Surajkund Road Sector- 43, Faridabad, Haryana 121003",http://aravali.edu.in/,Haryana,Private Schoos,,,,,,11 lakh,,0129 651 8146,khera.bsc@gmail.com,,info.ais@aravali.edu.in,aravali85@aravali.edu.in,aravali81@aravali.edu.in,8287104808,9873567122,8800200871,,,,
Army Public School Delhi Cantt,"Sadar Bazar Rd, Chitral Lines, Delhi Cantonment, New Delhi, Delhi 110010",http://apsdelhicantt.com/,Delhi,"CBSE School, School",,Mrs Neetu Kapoor,1989,,,,,011 2569 3777,"khin13@gmail.com, sangeeta.msc@gmail.com","principal.band@gmail.com, bhargav.phd@gmail.com",apsdelhicantt@gmail.com,apsahmednagar01@gmail.com,apsdk1953@gmail.com,8826683700,8956401934,,,,,
"Army Public School, Agra","Shivaji Rd, Army Area, Agra Cantt, Idgah Colony, Agra, Uttar Pradesh 282001",http://www.armypublicschoolagra.com/,"Uttar Pradesh, Ayodhya Cantt, Agra","CBSE School, Play School, School, Kids School, Private School, ICSE School, IB school, International School",,Mrs. Rupali Gupta,1 August 1991,,,2.5 crore,,0562 325 7516,"chakrabortysoumen@gmail.com, jyoti17@gmail.com, pratibha7@gmail.com, mohotra18@yahoo.com, manish12@gmail.com, pachauri.bsc@hotmail.com, shikha.msc@gmail.com, shikha17@gmail.com, mamatadr@hotmail.com, dr1990@rediff.com, er.susan@gmail.com","patel6@gmail.com, savita.phd@gmail.com, pro.mahajan@gmail.com, subhash20@gmail.com, pradipta8@gmail.com, janardan.phd@gmail.com, dhananjay.msc@gmail.com, shripad.phd@gmail.com, dr.vilas@gmail.com, sameer4@gmail.com, shriraghvendra@gmail.com",armyagra@yahoo.co.in,armyagra@gmail.com,rajkumar@nda.vsnl.net.in,9458487606,9412254828,,,,,
"Army Public School, Allahabad","Canton, Dhoomanganj, Prayagraj, Uttar Pradesh 211001",http://armypublicschoolalld.org/,Uttar Pradesh,School,,,,,,2.5 crore,,0532 242 0772,,,info@armypublicschoolalld.org,armyschoolalld@gmail.com,apsoldcanttoffice@gmail.com,info@army,doe_john@armypublicschoolalld.org,laps@lw1.vsnl.net.in,"9677232802, 9500176541",,,
"Army Public School, Binnaguri Cantt","P.O. Binnaguri Cantt DIST, West Bengal 735232",http://www.apsbinnaguri.org/,West Bengal,"School, CBSE School",,Dr Shailja Chhikara,,,,"1/2 crore, 4 crore",,,"mathur.bsc@gmail.com, rashmi.bsc@gmail.com","nandita.bsc@gmail.com, dr.sheth@gmail.com",apsbinnaguri1@gmail.com,apsahmednagar01@gmail.com,,7585817278,7718747807,8956401934,,,,
"Army Public School, Noida","Arun Vihar, Sector 37, Noida, Uttar Pradesh 201303",http://apsnoida.edu.in/,Uttar Pradesh,Schools,,Jyothi Rana,17 February 1995,,,10 lakh,,0120 243 0432,"dr.sabiha@gmail.com, choudhry.phd@rediff.com",shri12@gmail.com,apsnoidasec37@gmail.com,apsahmednagar01@gmail.com,apmp@nde.vsnl.net.in,8956401934,9166327270,,,,,
Arya Vidyapeeth College,"AK Azad Rd, Vidyapeeth, Tarun Nagar, Guwahati, Assam 781016",http://www.avcollege.ac.in/,,School,,Dr. Pradip Kumar Bhattacharyya,29 July 1958,Gauhati University,,,,0361 247 4065,venkatesh.msc@yahoo.com,pro.ashok@gmail.com,principal@avcollege.ac.in,iqac@avcollege.ac.in,,9085310591,9706857788,7086239014,,,,
"Aryabhatta College, University Of Delhi","University of Delhi Plot No 5, Benito Juarez Marg, South Campus, Anand Niketan, New Delhi, Delhi 110021",http://aryabhattacollege.ac.in/,"Palwal, Agra ",IB school,,Dr. Manoj sinha,,,,,,011 2411 0490,"dr.kanchan@gmail.com, luke1983@gmail.com",,"principal@aryabhattacollege.ac.in, admin@aryabhattacollege.ac.in","ignou0709@rediffmail.com, principal@aryabhattacollege.ac.in","admin@aryabhattacollege.ac.in, ignou0709@rediffmail.com",8595747648,8368501990,ncwebadmissions@bharati..ac.in,,,,
Aryaman Vikram Birla Institute Of Learning,"Raja Rani Vihar Rd, Vasudevpuram, Niliam Colony, Haldwani, Uttarakhand 263139",http://www.avbil.net/,"Uttrakhand, Uttarakhand","Schools, School, Private School, CBSE School, ICSE School",,Mr. Pinderjeet Singh Cheema,30 March 2004,New Delhi,,"4 crore, 2 crore, 1/2 crore",,"9756205510,  5946235788","chaturvedi1990@gmail.com, aruprong@gmail.com, dr.damayanti@gmail.com, dr1973@hotmail.com, charles.msc@gmail.com, sr.bsc@gmail.com","dr.kapoor@gmail.com, sachin.phd@gmail.com, devendra18@gmail.com, katkaratul@gmail.com, manemanoj@gmail.com, sunder.phd@gmail.com",principal@avbil.net,office@avbil.net,workplace@avbil.internet,919756205510,9159462357,,"9009338800, 8087027485, 9259280000, 9259280000, asksalemcity@tipsglobal.org",,,
Aspam Pre School - Play School,"A Block, 94/B, Sector 55, Noida, Uttar Pradesh 201301",http://www.aspampreschool.com/,Uttar Pradesh,Kids School,,,,,,10 lakh,,085859 89883,hima16@gmail.com,,aspam.foundationpreschool@gmail.com,info@aspamscottish.com,admission@aspamscottish.com,8826302302,919205400449,8826302302,,,,
Assam Downtown University,"Sankar Madhab Path, Gandhi Nagar, Panikhaiti, Assam 781068",https://adtu.in/,Assam,IB school,,,2010,,,2.5 crore,,0361 711 0711,,,vc@adtu.in,registrar@adtu.in,coe@adtu.in,9864137777,9127070577,9365771454,,,,
Assam Engineering College,"Assam Engineering College Rd, Jalukbari, Guwahati, Assam 781013",http://aec.ac.in/,Assam,"Kids School, IB school",,Atul Bora,1955,,,"2.5 crore, 4 crore",,0361 257 0550,"er.ravindranath@gmail.com, ajanita18@gmail.com","sahu.phd@gmail.com, akhter.phd@gmail.com",principal@aec.ac.in,aecsu@aec.ac.in,office@aec.ac.in,9136125705,9136125722,+91-9864020168,,,,
Assam Rifles Public School,"Assam Rifles complex Kunjaban, Agartala, Tripura 799001",http://assamriflesschool.org/,Tripura,"Play School, Private School, CBSE School, ICSE School, IB school, International School",,,,,,"4 crore, 2.5 crore, 5 crore",,0381 231 4473,,,"principalarps@yahoo.com, principalarps1@gmail.com","principalarps1@gmail.com, principalarps@yahoo.com",arnsmantri@gmail.com,"assamriflesschool@rediffmail.com, arpskohima35329@gmail.com","arpskohima35329@gmail.com, assamriflesschool@rediffmail.com",assamriflesschool@rediffmail,"9470981648, 9886334593, +91-7975323917, +91-9826099912, 8291972378, 919890556453, +91-9811437000, 9766678833, 7888039964",,,
Atma Ram Sanatan Dharma College,"Dhaula Kuan Enclave I, Dhaula Kuan, New Delhi, Delhi 110021",http://arsdcollege.ac.in/,,School,,Gyantosh Kumar Jha,3 August 1959,,,,,011 2411 3436,s1989@gmail.com,principal.gill@gmail.com,richsuri@gmail.com,indrajeetjha@gmail.c,rajeev@arsd.du.ac.in,9810945279,9911851530,9990179780,,,,
Aurora Degree College,"Near Old RTO Office, Kakatiya University X Road, Nayeem Nagar, Vidhyaranyapuri, Hanamkonda, Telangana 506009",http://auroradegreecollegewgl.in/,Peddapalli,IB school,,Viswanadham Bulusu,,,,,,,mssandhya.bsc@gmail.com,ramesh20@gmail.com,info@aurora.ac,info@aurora.ac.in,last_initial@adc.edu.in,9100000588,9100000599,9140276626,,,,
Avinashilingam University,"Bharathi Park Road Tatabad, Forest College Campus, Saibaba Colony, Tamil Nadu 641043",http://www.avinuty.ac.in/,Tamil Nadu,Schools,,,1988,University Grants Commission,,8 lakh,,0422 244 0241,north20@gmail.com,,vc@avinuty.ac.in,registrar@avinuty.ac.in,coe@avinuty.ac.in,9787733663,dean_studentaffairs@avinuty.ac.in,dean_engineering@avinuty.ac.in,,,,
B.D. College,"BD college B. D college, Bihar 800001",http://bdcollegepatna.com/,,School,,Dr. Sanjoy Kumar,1970,Patliputra University (Patna),,,,,sharma7@gmail.com,jainkinnri@gmail.com,principalbdcpatna@gmail.com,bdcollegeadmission2020@gmail.com,admission@green.edu.bd,9304111402,9431619715,,,,,
BK Birla Centre For Education,"Shirgaon – Gahunje, Near Talegaon Dabhade, Taluka, Maval, Pune, Maharashtra 410506",http://bkbirlacentre.com/,Maharashtra,"CBSE School, School",,Saibal Kumar Sanyal,2 May 1998,,,2294 crore,,083809 68333,"kumarnarendra@gmail.com, ks.bsc@gmail.com","ranjna11@gmail.com, gupta18@gmail.com",principal@bkbirlacentre.com,principalbirlacentre@gmail.com,,8380968222,"8380968333, +91-8380968333","8380938444, 8380968333",,,,
