School Name,Address,Website_x,City_x,Category_x,Gender_x,Principal_x,Founded_x,Affiliation_x,Web Url,Fees_x,Revenue_x,Mobile/Contact Number_x,Principal/Heigher Mgm. Emails_x,Emails_x,Other Higher Mgm. Email_x,Other Email_x,Other Email.1_x,Contact number_x,Contact number.1_x,Contact number.2_x,Merged_Unnamed_x,Unnamed: 22,Unnamed: 23,Pincode,Website_y,City_y,Category_y,Gender_y,Principal_y,Founded_y,Affiliation_y,Strength,Website.1,Fees_y,Revenue_y,Mobile/Contact Number_y,Principal/Heigher Mgm. Emails_y,Emails_y,Other Higher Mgm. Email_y,Other Email_y,Other Email.1_y,Contact number_y,Contact number.1_y,Contact number.2_y,Merged_Unnamed_y,Web Url_x,Unnamed: 22_x,Unnamed: 23_x,Web Url_y,Unnamed: 22_y,Unnamed: 23_y,Unnamed: 24
shemford futuristic school,"goda p, west bengal 713102",http://shemfordburdwan.com/,West Bengal,School,,,,,,,,1/2 crore,,070471 28077,,,admissions@gurugram.shemford.com,auraiya.shemford@gmail,guwahati@shemford.com,8000000000,8000000000,-7000000000,,713102.0,http://shemfordburdwan.com/,West Bengal,CBSE School,,,,,,,2 crore,,070471 28077,,,admissions@gurugram.shemford.com,atwa@shemford.com,guwahati@shemford.com,+91-8448496733,+91-8800550099,9387130617,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan",,,,,,,
bal vidya mandir senior secondary school,"railway station, station road opp :charbagh, lucknow, uttar pradesh 226001",http://www.balvidyamandirlucknow.org/,Lucknow,"Kids School, Private School, CBSE School, International School",,R. K. Pandey,,,,,,0522 263 5764,"prominichopra@yahoo.com, mrs1971@gmail.com, chaudhary.phd@gmail.com, dramita@gmail.com","balwant.phd@gmail.com, devendra18@gmail.com, shekhar18@gmail.com, shridhar.bsc@gmail.com",bvmlko@rediffmail.com,"bvmlko@rediffmail.co, bbvmschool@hotmail.com","bbvmschool@hotmail.com, bvmlko@rediffmail.co",9412721233,"mclsbmhn@gmail, bvm_ssschool@yahoo.com",mclsbmhn@gmail,,,,,http://www.balvidyamandirlucknow.org/,Lucknow,"Kids School, Private School, CBSE School, International School",,R. K. Pandey,,,,,,,0522 263 5764,"prominichopra@yahoo.com, mrs1971@gmail.com, chaudhary.phd@gmail.com, dramita@gmail.com","balwant.phd@gmail.com, devendra18@gmail.com, shekhar18@gmail.com, shridhar.bsc@gmail.com",bvmlko@rediffmail.com,"bvmlko@rediffmail.co, bbvmschool@hotmail.com","bbvmschool@hotmail.com, bvmlko@rediffmail.co",9412721233,"mclsbmhn@gmail, bvm_ssschool@yahoo.com",mclsbmhn@gmail,,,,,,,,
baldwin boys high school,"14, hosur rd, richmond town, bengaluru, karnataka 560025",https://baldwinboyshighschool.edu.in/,Karnataka,ICSE School,,Mrs. Leena Daniel,,,,4 crore,,080 4936 3866,shabana1975@gmail.com,parveenirani@gmail.com,principal@baldwinboyshighschool.edu.in,bbhs.enquiry@gmail.com,,9148507888,+91-9148507888,,,,,,https://baldwinboyshighschool.edu.in/,Karnataka,ICSE School,,Mrs. Leena Daniel,,,,,4 crore,,080 4936 3866,shabana1975@gmail.com,parveenirani@gmail.com,principal@baldwinboyshighschool.edu.in,bbhs.enquiry@gmail.com,,9148507888,+91-9148507888,,,,,,,,,
baldwin farm area high school,"opposite, kadma market, kadma, jamshedpur, jharkhand 831005",http://www.baldwinsociety.in/,Jharkhand,"School, Private School",,Subhoshree Sarkar,2003,,,"2.5 crore, 2 crore",,0657 231 0195,"sinha.phd@gmail.com, manohar1968@yahoo.com, dr1984@rediff.com","varsha7@gmail.com, trupti.phd@gmail.com, dr.sarbjit@gmail.com",info.bfa@baldwinsociety.in,de_tax_ranchi@hotmail.com,baldwinkadma@gmail.com,9608916532,8051080849,,,,,,http://www.baldwinsociety.in/,Jharkhand,"School, Private School",,Subhoshree Sarkar,2003,,,,"2.5 crore, 2 crore",,0657 231 0195,"sinha.phd@gmail.com, manohar1968@yahoo.com, dr1984@rediff.com","varsha7@gmail.com, trupti.phd@gmail.com, dr.sarbjit@gmail.com",info.bfa@baldwinsociety.in,de_tax_ranchi@hotmail.com,baldwinkadma@gmail.com,9608916532,8051080849,,,,,,,,,
baldwin girls' high school,"90, richmond rd, richmond town, bengaluru, karnataka 560025",https://baldwingirls.edu.in/,Call +91-9148780138 or 080-40493000,Schools,Co-ED,Asha M Das,1880,,,50 k,8 lakh,080 2221 1743,"asha1989@hotmail.com, baldwingirls@gmail.com",vidyavihar@gmail.com,baldwingirls@gmail.com,enquiry@baldwingirls.edu.in,,+91-9148780138,,,,,,,https://baldwingirls.edu.in/,Bengaluru,Schools,Co-ED,Asha M Das,1880,,,,50 k,8 lakh,080 2221 1743,"asha1989@hotmail.com, baldwingirls@gmail.com",vidyavihar@gmail.com,baldwingirls@gmail.com,enquiry@baldwingirls.edu.in,,+91-9148780138,,,,,,,,,,
believers church residential school (bcrs),"thiruvalla mallappally road, kuttapuzha, thiruvalla, kerala 689103",http://www.bcrschool.org/,Kerala,"CBSE School, IB school, Boarding school, School",,Shirley Ann Thomas,2002,Central Board of Secondary Education,,"3 crore, 2 crore, 10 lakh",,0469 273 3404,"mohotra6@gmail.com, sir.bsc@gmail.com, dranjali@rediff.com, ravindranathdsavdeykar@gmail.com","vikram.bsc@gmail.com, pro.agrawal@gmail.com, raj.phd@gmail.com",bcrsthiruvalla@gmail.com,bcedu@bcasia.org,,9497684375,9207306438,8301818030,,,,,http://www.bcrschool.org/,Kerala,"CBSE School, IB school, Boarding school, School",,Shirley Ann Thomas,2002,Central Board of Secondary Education,,,"3 crore, 2 crore, 10 lakh",,0469 273 3404,"mohotra6@gmail.com, sir.bsc@gmail.com, dranjali@rediff.com, ravindranathdsavdeykar@gmail.com","vikram.bsc@gmail.com, pro.agrawal@gmail.com, raj.phd@gmail.com",bcrsthiruvalla@gmail.com,bcedu@bcasia.org,,9497684375,9207306438,8301818030,,,,,,,,
bethany convent school,"opposite central jail, naini, prayagraj, uttar pradesh 211008",http://www.bethanyconventschool.org/,Uttar Pradesh,Schools,,Sr. Shilpa B.S,7/12/1965,,,,,0532 269 7351,drruchi@gmail.com,phd.parkash@gmail.com,bethanyconventschoolgn2012@gmail.com,gnoidabethany12@gmail.com,info@bethanyconventschool.com,7838501497,,,,,,,http://www.bethanyconventschool.org/,Uttar Pradesh,Schools,,Sr. Shilpa B.S,12 July 1965,,,,,,0532 269 7351,drruchi@gmail.com,phd.parkash@gmail.com,bethanyconventschoolgn2012@gmail.com,gnoidabethany12@gmail.com,info@bethanyconventschool.com,7838501497,,,,,,,,,,
bethany high school,"ca -12, 20th main, koramangala, next to koramangala police station, bengaluru, karnataka 560095",http://bethanyinstitutions.edu.in/,Karnataka,"CBSE School, ICSE School, School",,Mr. Robert Khin,1963,,,1/2 crore,,080 2553 1815,"anvita1988@gmail.com, sibi.msc@gmail.com, miss1969@gmail.com","sharmila.msc@gmail.com, trupti20@gmail.com, ashok10@gmail.com","school@newsite.bethanyinstitutions.edu.in, info@bethanyinstitutions.edu.in","info@bethanyinstitutions.edu.in, school@bethanyhigh",school@bethanyhigh,9148146454,8025533603,8793675263,,,,,http://bethanyinstitutions.edu.in/,Karnataka,"CBSE School, ICSE School, School",,Mr. Robert Khin,1963,,,,1/2 crore,,080 2553 1815,"anvita1988@gmail.com, sibi.msc@gmail.com, miss1969@gmail.com","sharmila.msc@gmail.com, trupti20@gmail.com, ashok10@gmail.com","school@newsite.bethanyinstitutions.edu.in, info@bethanyinstitutions.edu.in","info@bethanyinstitutions.edu.in, school@bethanyhigh",school@bethanyhigh,9148146454,8025533603,8793675263,,,,,,,,
bethany school,"gandhi road, limbugaon, darjeeling, west bengal 734101",http://bethanydarjeeling.com/,Sikkim,International School,,,,,,12 crore,,0354 225 2744,,,bethanyschoolsulantu@gmail.com,contact@bethanydarjeeling.com,enquiry@bethanyconventschoolpanvel.org,8001554574,8116462681,8451999879,"8448281776, 7275409090, 7317701112",,,,http://bethanydarjeeling.com/,Sikkim,International School,,,,,,,12 crore,,0354 225 2744,,,bethanyschoolsulantu@gmail.com,contact@bethanydarjeeling.com,enquiry@bethanyconventschoolpanvel.org,8001554574,8116462681,8451999879,"8448281776, 7275409090, 7317701112",,,,,,,
bethel mission school,"chhura hmun, bethel veng, champhai, mizoram 796321",http://www.facebook.com/bethel.ms,Mizoram,"School, Play School, Private School",,K. Malsawmdawngi,,,,"2 crore, 1/2 crore, 2525 crore",,096124 47703,"dr.msc@yahoo.com, c1973@rediff.com, kurup1990@gmail.com","principal.asif@gmail.com, msc.milind@gmail.com, abdulazeem@gmail.com",bethelmission99@gmail.com,julianakavitha@gmail.com,bestbihar@rediffmail.com,9977510369,,,,,,,http://www.facebook.com/bethel.ms,Mizoram,"School, Play School, Private School",,K. Malsawmdawngi,,,,,"2 crore, 1/2 crore, 2525 crore",,096124 47703,"dr.msc@yahoo.com, c1973@rediff.com, kurup1990@gmail.com","principal.asif@gmail.com, msc.milind@gmail.com, abdulazeem@gmail.com",bethelmission99@gmail.com,julianakavitha@gmail.com,bestbihar@rediffmail.com,9977510369,,,,,,,,,,
bharad vidhya mandir,"moti palace township, junagadh, gujarat 362015",http://bharadschools.org/about-us.php,Gujarat,Private Schoos,,,,,,8 lakh,,098240 13425,pranabkumar@gmail.com,,info@bharadschools.org,principal_eng@bharadschools.org,pbpandya7@gmail.com,9099096413,9904498255,9099096422,,,,,http://bharadschools.org/about-us.php,Gujarat,Private Schoos,,,,,,,8 lakh,,098240 13425,pranabkumar@gmail.com,,info@bharadschools.org,principal_eng@bharadschools.org,pbpandya7@gmail.com,9099096413,9904498255,9099096422,,,,,,,,
bharatiya vidya bhavan's mehta vidyalaya,"kg marg, copernicus marg, new delhi, delhi 110001",http://www.bvbmehtavidyalaya.org/,Delhi,"School, Private School",,Dr. Anju Tandon,1950,Central Board of Secondary Education,,,,011 2338 4881,"vijaya15@gmail.com, manish.bsc@yahoo.com, andrew.msc@gmail.com","pro.chandra@gmail.com, yuwaraj10@gmail.com, shrisandeep@gmail.com",principal@bvbmehtavidyalaya.org,"admin@bhavanitesdelhi.org, mehtavidyalaya@rediffmail.com","mehtavidyalaya@rediffmail.com, admin@bhavanitesdelhi.org",director@bvbdelhi.org,anjutandonbvb@gmail.com,,,,,,http://www.bvbmehtavidyalaya.org/,Delhi,"School, Private School",,Dr. Anju Tandon,1950,Central Board of Secondary Education,,,,,011 2338 4881,"vijaya15@gmail.com, manish.bsc@yahoo.com, andrew.msc@gmail.com","pro.chandra@gmail.com, yuwaraj10@gmail.com, shrisandeep@gmail.com",principal@bvbmehtavidyalaya.org,"admin@bhavanitesdelhi.org, mehtavidyalaya@rediffmail.com","mehtavidyalaya@rediffmail.com, admin@bhavanitesdelhi.org",director@bvbdelhi.org,anjutandonbvb@gmail.com,,,,,,,,,
bharatiya vidya bhavans vidya mandir,"poochatty p.o, eravimangalam, thrissur, kerala 680751",http://www.bvbpoochatty.in/,Kerala,CBSE School,,Sujatha Menon,,,,233 crore,,0487 237 0251,wadalkar1965@hotmail.com,deshmukh18@gmail.com,bvmtcr@gmail.com,,,9388780507,9388780503,9048787508,,,,,http://www.bvbpoochatty.in/,Kerala,CBSE School,,Sujatha Menon,,,,,233 crore,,0487 237 0251,wadalkar1965@hotmail.com,deshmukh18@gmail.com,bvmtcr@gmail.com,,,9388780507,9388780503,9048787508,,,,,,,,
billabong high international school,"6f, radio colony st, palavakkam, chennai, tamil nadu 600041",https://www.billabonghighschool.com/chennai-palavakkam/,Tamil Nadu,International School,,,,,,6 crore,,098413 11117,,,info.malad@billabonghighschool.com,info.santacruz@billabonghighschool.com,info.azadnagar@billabonghigh.com,917556457555,917552696799,917552696818,armypublicschoolalwar@gmail.com,,,,https://www.billabonghighschool.com/chennai-palavakkam/,Tamil Nadu,International School,,,,,,,6 crore,,098413 11117,,,info.malad@billabonghighschool.com,info.santacruz@billabonghighschool.com,info.azadnagar@billabonghigh.com,917556457555,917552696799,917552696818,armypublicschoolalwar@gmail.com,,,,,,,
birla high school,"1, moira st, elgin, kolkata, west bengal 700017",http://www.birlahighschool.com/,West Bengal,"School, Private School, CBSE School",,Ms. Lovleen Saigal,"11 July 1941, Kolkata",Central Board of Secondary Education,,2.5 crore,,033 2287 6420,"dr.sarita@hotmail.com, gupta1981@gmail.com, chaudhary18@gmail.com, shalini1@gmail.com","patharneha@gmail.com, msc.dipak@gmail.com, suhas.bsc@gmail.com, satnam.msc@gmail.com",principal@birlahighschool.com,--bhsjr@birlahighschool.com,bhsjrkol@gmail.com,9903606575,,,"9143124555, info@cisdasuya.com, communications@bciswest.org, athan@yahoo.com, +91-8090055605, 9305859584",,,,http://www.birlahighschool.com/,West Bengal,"School, Private School, CBSE School",,Ms. Lovleen Saigal,"11 July 1941, Kolkata",Central Board of Secondary Education,,,2.5 crore,,033 2287 6420,"dr.sarita@hotmail.com, gupta1981@gmail.com, chaudhary18@gmail.com, shalini1@gmail.com","patharneha@gmail.com, msc.dipak@gmail.com, suhas.bsc@gmail.com, satnam.msc@gmail.com",principal@birlahighschool.com,--bhsjr@birlahighschool.com,bhsjrkol@gmail.com,9903606575,,,"9143124555, info@cisdasuya.com, communications@bciswest.org, athan@yahoo.com, +91-8090055605, 9305859584",,,,,,,
birla open minds international school,"survey no 192 & 193 outer ring road gachibowli, kollur, hyderabad, telangana 502300",http://www.openminds-hyderabad.com/,"Warangal, Telangana, Mahabubnagar, Karimnagar, Banda, Abids ","ICSE School, School, Kids School, Play School, International School, IB school, Private School",,Syamali Choudhry,2013,,,"1/2 crore, 4 crore, 2.5 crore, 2 crore",,095910 35414,"arvinddr@gmail.com, kain.msc@gmail.com, bro1976@gmail.com, dr.cook@gmail.com, pinderjeet12@gmail.com, sharma1984@yahoo.com, dubey.msc@gmail.com, alka1974@gmail.com, tripathi19@gmail.com","prashant3@gmail.com, dr.madan@gmail.com, pravinkumar.msc@gmail.com, ajay20@gmail.com, gaikwadpopatrao@gmail.com, sanjay.msc@gmail.com, jawale20@gmail.com",admissions.bomis@birlaopenminds.com,openmindsbsp@gmail.com,info@birlaschoolbsp.com,8499993928,"9987872231, 8815105684, 8815105682","8815105684, 8815105683","9706191724, 7002663342",,,,http://www.openminds-hyderabad.com/,"Warangal, Telangana, Mahabubnagar, Karimnagar, Banda, Abids ","ICSE School, School, Kids School, Play School, International School, IB school, Private School",,Syamali Choudhry,2013,,,,"1/2 crore, 4 crore, 2.5 crore, 2 crore",,095910 35414,"arvinddr@gmail.com, kain.msc@gmail.com, bro1976@gmail.com, dr.cook@gmail.com, pinderjeet12@gmail.com, sharma1984@yahoo.com, dubey.msc@gmail.com, alka1974@gmail.com, tripathi19@gmail.com","prashant3@gmail.com, dr.madan@gmail.com, pravinkumar.msc@gmail.com, ajay20@gmail.com, gaikwadpopatrao@gmail.com, sanjay.msc@gmail.com, jawale20@gmail.com",admissions.bomis@birlaopenminds.com,openmindsbsp@gmail.com,info@birlaschoolbsp.com,8499993928,"9987872231, 8815105684, 8815105682","8815105684, 8815105683","9706191724, 7002663342",,,,,,,
birla school pilani,"birla school pilani, pilani, rajasthan 333031",http://www.birlaschoolpilani.edu.in/,Rajasthan,CBSE School,,Sanjay Srivastava,,,,1/2 crore,,099506 75557,revathydr@gmail.com,dr.mahadeo@gmail.com,bursar@bpspilani.edu.in,hmjunior@bpspilani.edu.in,principal@birlaschoolpilani.edu.in,9667200770,8875001864,9667200785,,,,,http://www.birlaschoolpilani.edu.in/,Rajasthan,CBSE School,,Sanjay Srivastava,,,,,1/2 crore,,099506 75557,revathydr@gmail.com,dr.mahadeo@gmail.com,bursar@bpspilani.edu.in,hmjunior@bpspilani.edu.in,principal@birlaschoolpilani.edu.in,9667200770,8875001864,9667200785,,,,,,,,
bishop westcott boys' school,"namkum, ranchi, jharkhand 834010",http://bishopwestcottboysschool.com/,Jharkhand,"Private School, CBSE School, ICSE School, IB school",,R. I. Thornton,1927,,,"2 crore, 4 crore, 1/2 crore",,0651 656 5004,"pskalra@yahoo.com, awanindrasingh@gmail.com, james.bsc@gmail.com, damayanti.phd@gmail.com","medhabhat@gmail.com, vijaya.bsc@gmail.com, shubhangi15@gmail.com, vandana8@gmail.com","principal@bishopwestcottboysschool.com, info@bishopwestcottboysschool.com","info@bishopwestcottboysschool.com, principal@bishopwestcottboysschool.com",bwbs_namkum@yahoo.co.in,8092065002,,,,,,,http://bishopwestcottboysschool.com/,Jharkhand,"Private School, CBSE School, ICSE School, IB school",,R. I. Thornton,1927,,,,"2 crore, 4 crore, 1/2 crore",,0651 656 5004,"pskalra@yahoo.com, awanindrasingh@gmail.com, james.bsc@gmail.com, damayanti.phd@gmail.com","medhabhat@gmail.com, vijaya.bsc@gmail.com, shubhangi15@gmail.com, vandana8@gmail.com","principal@bishopwestcottboysschool.com, info@bishopwestcottboysschool.com","info@bishopwestcottboysschool.com, principal@bishopwestcottboysschool.com",bwbs_namkum@yahoo.co.in,8092065002,,,,,,,,,,
blessing academy,"hemadrie, 4, gandhi rd, darjeeling, west bengal 734101",http://www.blessingacademy.info/,Sikkim,Private School,,,,,,1/2 crore,,098008 71324,,,principal@blessingseducation.org,blessingacademy@gmail.com,jd@domain.com,9688999811,8012553410,7373079060,"+91-9044059024, 919235311061, +91-7318585111",,,,http://www.blessingacademy.info/,Sikkim,Private School,,,,,,,1/2 crore,,098008 71324,,,principal@blessingseducation.org,blessingacademy@gmail.com,jd@domain.com,9688999811,8012553410,7373079060,"+91-9044059024, 919235311061, +91-7318585111",,,,,,,
bloomingdale play school (village campus),"village campus, municipal employees colony, vijayawada, andhra pradesh 520010",https://bloomingdale.edu.in/,Vijaywada,Private School,Co-ED,Dr. Madhuri Shah,,,,5 lakh,,077997 87827,l1973@gmail.com,namdev14@gmail.com,support@bloomingdale.edu.in,leelak@blooms.edu.in,,+91-7799787827,,,"9266787900, 918057351351, 9219444190, 9557501299",,,,https://bloomingdale.edu.in/,Vijaywada,Private School,Co-ED,Dr. Madhuri Shah,,,,,5 lakh,,077997 87827,l1973@gmail.com,namdev14@gmail.com,support@bloomingdale.edu.in,leelak@blooms.edu.in,,+91-7799787827,,,"9266787900, 918057351351, 9219444190, 9557501299",,,,,,,
