School Name,Address,Pincode,Website,City,Category,Gender,Principal,Founded,Affiliation,Strength,Website,Fees,Revenue,Mobile/Contact Number,Principal/Heigher Mgm. Emails,Emails,Other Higher Mgm. Email,Other Email,Other Email.1,Contact number,Contact number.1,Contact number.2,Merged_Unnamed
Ekya School ITPL,"2851, ITPL Main Rd, Dodda Nekkundi Extension, Friends Layout, Bengaluru, Karnataka 560037",560037.0,http://www.ekyaschools.com/itpl/?utm_source=GMB&utm_medium=ITPL&utm_campaign=ITPL,Yelahanka ,English Medium School,,,2010,,,,,,080 4680 9096,,,info@ekyaschools.com,admissions@ekyaschools.com,career@ekyaschools,itpl@ekyaschools.com,jp.nagar@ekyaschools.com,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Sophia High School,"70, Palace Rd, High Grounds, Bengaluru, Karnataka 560001",560001.0,http://www.sophiahighschool.com/,Yelahanka ,English Medium School,,,1949,,,,,,080 2220 8794,,,sophiaschool19@gmail.com,heatherkinglee@sophiahighschool.org,jayadsouza@sophiahighschool.org,8022208794,8022266825,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
GEMS B SCHOOL,"Bangalore Palace, Royal, Vasanth Nagar, Bengaluru, Karnataka 560052",560052.0,http://www.gemsbschool.com/,Yelahanka ,English Medium School,,,,,,,,,096322 05138,,,scalinggreaterheights@gemsbschool.com,xxxxhts@gemsbschool.com,mysore@gemsbschool.com,9632205138,9845125069,+91-9980005180,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
INDIAN BANK,"KNSIT CAMPUS,THIRUMENAHALLI,JAKKUR, POST, Yelahanka, Bengaluru, Karnataka 560064",560064.0,http://www.indianbank.in/,Yelahanka ,English Medium School,,,,,,,,,1800 4250 0000,,,rtgscell@indianbank.co.in,rtgs@indian-bank.com,nodalofficer@indianbank.co.in,8004254422,indmail@indianbank.co.in,customercomplaints@indianbank.co.in,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
The Oxford College of Science,"17th, No. 32, B'Cross, 19th Main Rd, HSR Layout, Bengaluru, Karnataka 560102",560102.0,http://www.theoxford.edu/,Yelahanka ,English Medium School,,Dr. R. Kavyashree,1994,,,,,,080 3026 6301,,,info@theoxford.edu,hodplacements@theoxford.edu,adn@theoxford.edu,9964313495,,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Jain (Deemed-to-be University),"#44/4, District Fund Road, Behind Big Bazaar, Jayanagara 9th Block, Bengaluru, Karnataka 560069",560069.0,,Yelahanka ,English Medium School,,,2009,,,,,,080 4665 0100,,,admission.set@jainuniversity.ac.in,admissions.intl@jainuniversity,info.cde@jainuniversity.ac.in,7337618222,7337619222,8873373316,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Kendriya Vidyalaya Air Force Station,"Yelahanka, Bengaluru, Karnataka 560063",560063.0,https://afsyelahanka.kvs.ac.in/,Yelahanka ,SSC School,,,,,,,,,080 2847 8744,,,principal060@yahoo.co.in,ppl.gokulnagar@kvs.gov.in,kvkadarpur@gmail.com,v3ambalacantt@gmail.com,kvafsjorhat1@gmail.com,kvafsgorakhpur@rediffmail.com,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Federal Public School,"#27, Hegade Nagar Main Road, Opp KNSIT, Thirumenahalli, Thanisandra Main Road, Yelahanka, Bengaluru, Karnataka 560064",560064.0,http://www.federalpublicschool.org/,Yelahanka ,SSC School,,,,,,,,,080 2856 7277,,,info@federalpublicschool.org,.federalschool@gmail.com,federalpublicschool@gmail.com,+91- 9008581599,9845860935,9008581599,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Bharathi Public School,"IAF post, Bagalur Main Rd, Baba Nagar, Kattigenahalli, Bengaluru, Karnataka 560064",560064.0,http://www.bharathiinstitutions.in/,Yelahanka ,SSC School,,,,,,,,,098452 60197,,,info@bharathiinstitution.in,director@bharathiinstitutions.in,info@bharathiinstitutions.in,7847037927,9141879732,8147480974,"8380938444, 9326460814, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Yelahanka Air Force Base,"technical area, Yelahanka, Bengaluru, Karnataka 560064",560064.0,http://indianairforce.nic.in/,Yelahanka ,SSC School,,,,,,,,,097418 17763,,,afschoolyel06386@gmail,satluj@nic.in,logo8@iaf.nic.in,9343818181,9035272410,8050508740,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
United International School,"Hennur - Bagalur Main Road, Post, Kannuru, Bengaluru, Karnataka 562149",562149.0,https://www.unitedinternationalschool.com/,Yelahanka ,SSC School,,,,,,,,,094835 14755,,,99info@uisblr.com,careers@uisblr.com,info@uisblr.com,9483514755,7353751497,919483514755,"futures@st-georges-academy.org, sjsf@st-georges-academy.org, governance@st-georges-academy.org, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
INDIAN BANK,"KNSIT CAMPUS,THIRUMENAHALLI,JAKKUR, POST, Yelahanka, Bengaluru, Karnataka 560064",560064.0,http://www.indianbank.in/,Yelahanka ,SSC School,,,,,,,,,1800 4250 0000,,,rtgscell@indianbank.co.in,rtgs@indian-bank.com,nodalofficer@indianbank.co.in,8004254422,indmail@indianbank.co.in,customercomplaints@indianbank.co.in,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
CL Educate,"24, 14th Cross Road, Malleshwaram, Bengaluru, Karnataka 560003",560003.0,,Yelahanka ,SSC School,Co-ed,Satya Narayanan R,,,,,,,,,,helpme@careerlauncher.com,feedback@careerlauncher.com,hr@careerlauncher.com,reimaginingedu@cleducate.com,rachna.sharma@careerlauncher.com,compliance@cleducate.com,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Aavishkar Academy,"#24/1, Satyanarayana Temple Street, Opp Philips Millenia, Ulsoor, Bengaluru, Karnataka 560008",560008.0,http://aavishkaracademy.com/,Yelahanka ,SSC School,Co-ed,,,,,,,,089712 60043,,,enquiry@aavishkaracademy.com,aavishkarmy@gmail.com,chairman@aavishkaracademy.com,+91 - 8971260043,8971738606,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
"Career Launcher Malleshwaram Center, Bangalore","No.52/2-1, First Floor, 16th Cross, 8th Main Rd, Above Saraswat Bank, Malleshwaram, Bengaluru, Karnataka 560055",560055.0,https://www.careerlauncher.com/bangalore/malleshwaram/,Yelahanka ,SSC School,Co-ed,,,,,,,,078991 11137,,,rahulreddy@careerlauncher.com,bp@careerlauncher.com,himanshu.jain@careerlauncher.com,7899111137,7899222236,9513646380,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Chrysalis High Kadugodi,"Sy. No 125, Kumbena Agrahara Whitefield, Chrysalis High, Kadugodi Rd, behind HP Petrol Pump, Bengaluru, Karnataka 560067",560067.0,https://www.chrysalishigh.com/chrysalis-high-whitefield-kadugodi-road.php,Yelahanka ,SSC School,Co-ed,,,,,,,,097391 50011,,,admissions.kadugodi@chrysalishigh.com,support.kadugodi@chrysalishigh.com,admissions.varthur@chrysalishigh.com,+91-8095432322,7829432322,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Mahendra,"78, 8th Cross Rd, Hanumagiri, Nisarga Layout, Chikkalasandra, Bengaluru, Karnataka 560061",560061.0,https://www.mahendras.org/,Yelahanka ,SSC School,Co-ed,MR. RAJENDRA PRASAD,,,,,,,7317002022,ushahamilton2014@gmail.com,,info@mahendras.org,,,7052477777,7052577777,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Career Launcher Jayanagar Center Bangalore,"Building No.#4/3/1 & 3/2, 3rd Floor, Shubha Shree Mahendra Tower,11th Main, 3rd Block,Jayanagar, Bengaluru, Karnataka 560011",560011.0,https://www.careerlauncher.com/bangalore/jayanagar/,Yelahanka ,SSC School,Co-ed,,,,,,,,078997 27811,Koramangala@careerlauncher.com,,rahulreddy@careerlauncher.com,bp@careerlauncher.com,himanshu.jain@careerlauncher.com,hr@careerlauncher.com,,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
"Career Launcher Marathalli Center,Bangalore","2nd floor, 90/3, outer ring road, opp to innovative multiplex, above titan showroom, Chandra Layout, Marathahalli, Bengaluru, Karnataka 560037",560037.0,https://www.careerlauncher.com/bangalore/marathahalli/,Yelahanka ,SSC School,Co-ed,,,,,,,,078997 36411,admissions@nalsarlawuniv.org,,rahulreddy@careerlauncher.com,bp@careerlauncher.com,himanshu.jain@careerlauncher.com,7899736411,9945023451,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Isc Schools,"No.15, Residency Rd, Shanthala Nagar, Richmond Town, Bengaluru, Karnataka 560025",560025.0,,Yelahanka ,SSC School,Co-ed,Dr. Jerry George Mathew,,,,,,,29564831/33/37,sivasivanipublicschools@yahoo.com,,research@isc.co.uk,publicaffairs@isc.co.uk,press@isc.co.uk,admissions@greenwoodhigh.edu.in,,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Sacred Heart Convent Senior Secondary School,"Basant Nagar, Jagadhri, Haryana 135004",135004.0,http://www.shcsjagadhri.org/,Yamunanagar ,English Medium School,,,1966,,,,,,01732 231 049,,,shcs_sahnewal@yahoo.com,contactsacredheartchd@gmail.com,-info@shsdalhousie.org,91-9501626485,9478220900,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
S.R. Public School,"Chhappar - Talakaur Rd, Thana Chhappar, Haryana 133103",133103.0,http://srpschapper.org/,Yamunanagar ,English Medium School,,,,,,,,,01732 287 671,,,srpublicschool.orai@gmail.com,rashmishukla2013@gmail.com,srpuchebri@gmail.com,9415592020,8104275684,9314533133,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
"Seth Jai Prakash Polytechnic, Damla","Damla, Haryana 135001",135001.0,http://sjpdamla.ac.in/,Yamunanagar ,English Medium School,,,1980,,,,,,094160 25444,,,info@sjpdamla.ac.in,sjpp_damla@yahoo.co.in,,9416025444,8295905291,8858376999,"+91-9800046660, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
New Era Academy,"Mansoor Colony, Hauz, Kheri Road, Daraali, Saharanpur, Uttar Pradesh 247001",247001.0,http://www.neweraacademy.in/,Yamunanagar ,English Medium School,,,,,,,,,097197 33943,,,neweraacademy510@gmail.com,neweraacademy.boru@gmail.com,neweraacademy.edu@gmail.com,+91-7088401100,8601111705,8601111635,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Dikshant International School,"NH-22, Zirakpur-Panchkula-Kalka Highway, Dhakoli, Zirakpur, 160104",160104.0,http://www.dikshant.org/,Yamunanagar ,English Medium School,,,,,,,,,092572 14796,,,contact@dikshantinternational,dikshantint@gmail.com,info@dikshant.org,9257214796,9779935504,+91-9219460100,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Adarsh School,"8, Kunjpura Rd, LIC Colony, Vasant Vihar, Karnal, Haryana 132001",132001.0,http://apskarnal.com/,Yamunanagar ,English Medium School,,,,,,,,,0184 226 5620,,,adarshseniorsecondaryschool12@gmail.com,info@adarshssschool.co.in,info@theadarshschool.in,9455382101,adarshworldschool@gmail.com,info@adarshschoollohari.com,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
SD Adarsh Public School,"Dyal Singh Colony, Karnal, Haryana 132001",132001.0,http://www.sdadarsh.edu.in/,Yamunanagar ,English Medium School,,,,,,,,,0184 225 1165,,,pal4132@gmail.com,pdsharma2312@gmail.com,sdavggn@gmail.com,9466271000,9999613660,8882912669,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
NRI Sr Secondary Public School,"Mubarakpur Barwala Road , Mohali PB, Sundran, Punjab 140507",140507.0,http://www.nripublicschool.in/,Yamunanagar ,English Medium School,,,,,,,,,01762 644 377,,,poojaaroradb@gmail,principalnrips@gmail.com,pricipalpips@gmail.com,9457293157,9417872124,7009274723,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Government Model Senior Secondary School,"Timber Market, Sector 26, Chandigarh, 160019",160019.0,http://www.gmsss26tm.com/,Yamunanagar ,English Medium School,,,,,,,,,0172 279 0210,,,gmsss32-chd@nic.in,gmsss16@gmail.com,gmsss19@gmail.com,9463328822,gmsss22a@gmail.com,gmsss40b@gmail.com,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Government Model Senior Secondary School,"Modern Housing Complex, Manimajra, Chandigarh, 160101",160101.0,http://gmsssmhcmanimajra.com/,Yamunanagar ,English Medium School,,,,,,,,,0172 273 8424,,,gmsss32-chd@nic.in,gmsss16@gmail.com,gmsss19@gmail.com,9463328822,gmsss22a@gmail.com,gmsss40b@gmail.com,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
